ZIP Code,Territory,TNT,UDS Zone
61043,Peru,1 Day ,6
60536,Peru,1 Day ,6
60113,Peru,1 Day ,6
61037,Peru,1 Day ,6
61091,Peru,1 Day ,6
61057,Peru,1 Day ,6
61324,Peru,1 Day ,6
61331,Peru,1 Day ,6
61374,Peru,1 Day ,6
61328,Peru,1 Day ,6
61323,Peru,1 Day ,6
61322,Peru,1 Day ,6
61317,Peru,1 Day ,6
61372,Peru,1 Day ,6
61371,Peru,1 Day ,6
60557,Peru,1 Day ,6
60474,Peru,1 Day ,6
60920,Peru,1 Day ,6
61332,Peru,1 Day ,6
61316,Peru,1 Day ,6
61359,Peru,1 Day ,6
61363,Peru,1 Day ,6
61340,Peru,1 Day ,6
61315,Peru,1 Day ,6
61338,Peru,1 Day ,6
61541,Peru,1 Day ,6
61424,Peru,1 Day ,6
61426,Peru,1 Day ,6
61638,Peru,1 Day ,6
61562,Peru,1 Day ,6
61643,Peru,1 Day ,6
61612,Peru,1 Day ,6
61613,Peru,1 Day ,6
61633,Peru,1 Day ,6
61637,Peru,1 Day ,6
61639,Peru,1 Day ,6
61636,Peru,1 Day ,6
61650,Peru,1 Day ,6
61634,Peru,1 Day ,6
61655,Peru,1 Day ,6
61656,Peru,1 Day ,6
61653,Peru,1 Day ,6
61651,Peru,1 Day ,6
61654,Peru,1 Day ,6
61601,Peru,1 Day ,6
61652,Peru,1 Day ,6
61629,Peru,1 Day ,6
61630,Peru,1 Day ,6
61641,Peru,1 Day ,6
61555,Peru,1 Day ,6
61564,Peru,1 Day ,6
61558,Peru,1 Day ,6
61758,Peru,1 Day ,6
61799,Peru,1 Day ,6
61702,Peru,1 Day ,6
61710,Peru,1 Day ,6
61791,Peru,1 Day ,6
61709,Peru,1 Day ,6
61750,Peru,1 Day ,6
61751,Peru,1 Day ,6
61539,Peru,1 Day ,6
62524,Peru,1 Day ,6
62525,Peru,1 Day ,6
62532,Peru,1 Day ,6
62537,Peru,1 Day ,6
62519,Peru,1 Day ,6
62796,Peru,1 Day ,6
62659,Peru,1 Day ,6
62705,Peru,1 Day ,6
62781,Peru,1 Day ,6
62791,Peru,1 Day ,6
62746,Peru,1 Day ,6
62769,Peru,1 Day ,6
62756,Peru,1 Day ,6
62776,Peru,1 Day ,6
62721,Peru,1 Day ,6
62715,Peru,1 Day ,6
62739,Peru,1 Day ,6
62757,Peru,1 Day ,6
62765,Peru,1 Day ,6
62706,Peru,1 Day ,6
62722,Peru,1 Day ,6
62763,Peru,1 Day ,6
62767,Peru,1 Day ,6
62736,Peru,1 Day ,6
62786,Peru,1 Day ,6
62719,Peru,1 Day ,6
62777,Peru,1 Day ,6
62761,Peru,1 Day ,6
62726,Peru,1 Day ,6
62762,Peru,1 Day ,6
62708,Peru,1 Day ,6
62794,Peru,1 Day ,6
62764,Peru,1 Day ,6
62766,Peru,1 Day ,6
