ZIP,Pkg Sort Code,ACI Hub,Presort Group Name,Phase,DDU Entry Available,Home Delivery Available,Zone from ACI Hub,Phase 1 Transit (bus days)
01001,,NYC,,2,YES,NOT YET,2,
01002,,NYC,,2,YES,NOT YET,2,
01003,,NYC,,2,YES,NOT YET,2,
01004,,NYC,,2,YES,NOT YET,2,
01013,,NYC,,2,YES,NOT YET,2,
01020,,NYC,,2,YES,NOT YET,2,
01021,,NYC,,2,YES,NOT YET,2,
01022,,NYC,,2,YES,NOT YET,2,
01027,,NYC,,2,YES,NOT YET,2,
01028,,NYC,,2,YES,NOT YET,2,
01030,,NYC,,2,YES,NOT YET,2,
01036,,NYC,,2,YES,NOT YET,2,
01040,,NYC,,2,YES,NOT YET,2,
01041,,NYC,,2,YES,NOT YET,2,
01056,,NYC,,2,YES,NOT YET,2,
01060,,NYC,,2,YES,NOT YET,2,
01061,,NYC,,2,YES,NOT YET,2,
01062,,NYC,,2,YES,NOT YET,2,
01063,,NYC,,2,YES,NOT YET,2,
01069,,NYC,,2,YES,NOT YET,2,
01075,,NYC,,2,YES,NOT YET,2,
01077,,NYC,,2,YES,NOT YET,2,
01080,,NYC,,2,YES,NOT YET,2,
01085,,NYC,,2,YES,NOT YET,2,
01086,,NYC,,2,YES,NOT YET,2,
01089,,NYC,,2,YES,NOT YET,2,
01095,,NYC,,2,YES,NOT YET,2,
01097,,NYC,,2,YES,NOT YET,2,
01101,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01102,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01103,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01104,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01105,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01106,,NYC,,2,YES,NOT YET,2,
01107,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01108,,NYC,,2,YES,NOT YET,2,
01109,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01111,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01115,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01116,,NYC,,2,YES,NOT YET,2,
01118,,NYC,,2,YES,NOT YET,2,
01119,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01128,,NYC,,2,YES,NOT YET,2,
01129,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01138,,NYC,,2,YES,NOT YET,2,
01144,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01151,,NYC,,2,YES,NOT YET,2,
01152,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01199,NYC-C-29,NYC,NYC-C,1,YES,NOT YET,2,2
01201,,NYC,,2,YES,NOT YET,2,
01202,,NYC,,2,YES,NOT YET,2,
01203,,NYC,,2,YES,NOT YET,2,
01220,,NYC,,2,YES,NOT YET,2,
01247,,NYC,,2,YES,NOT YET,2,
01301,,NYC,,2,YES,NOT YET,2,
01302,,NYC,,2,YES,NOT YET,2,
01354,,NYC,,2,YES,NOT YET,2,
