zipcode,sortcode,carrier,service,max_weight,shipper_id,options.injectionName,options.injectionAddress.address1,options.injectionAddress.city,options.injectionAddress.state,options.injectionAddress.zip,options.injectionAddress.country
70601,,LSO,Ground,2400,,,,,,,
70602,,LSO,Ground,2400,,,,,,,
70605,,LSO,Ground,2400,,,,,,,
70606,,LSO,Ground,2400,,,,,,,
70607,,LSO,Ground,2400,,,,,,,
70609,,LSO,Ground,2400,,,,,,,
70611,,LSO,Ground,2400,,,,,,,
70612,,LSO,Ground,2400,,,,,,,
70615,,LSO,Ground,2400,,,,,,,
70616,,LSO,Ground,2400,,,,,,,
70629,,LSO,Ground,2400,,,,,,,
70630,,LSO,Ground,2400,,,,,,,
70631,,LSO,Ground,2400,,,,,,,
70632,,LSO,Ground,2400,,,,,,,
70633,,LSO,Ground,2400,,,,,,,
70634,,LSO,Ground,2400,,,,,,,
70637,,LSO,Ground,2400,,,,,,,
70638,,LSO,Ground,2400,,,,,,,
70639,,LSO,Ground,2400,,,,,,,
70640,,LSO,Ground,2400,,,,,,,
70642,,LSO,Ground,2400,,,,,,,
70643,,LSO,Ground,2400,,,,,,,
70644,,LSO,Ground,2400,,,,,,,
70645,,LSO,Ground,2400,,,,,,,
70646,,LSO,Ground,2400,,,,,,,
70647,,LSO,Ground,2400,,,,,,,
70648,,LSO,Ground,2400,,,,,,,
70650,,LSO,Ground,2400,,,,,,,
70651,,LSO,Ground,2400,,,,,,,
70652,,LSO,Ground,2400,,,,,,,
70653,,LSO,Ground,2400,,,,,,,
70654,,LSO,Ground,2400,,,,,,,
70655,,LSO,Ground,2400,,,,,,,
70656,,LSO,Ground,2400,,,,,,,
70657,,LSO,Ground,2400,,,,,,,
70658,,LSO,Ground,2400,,,,,,,
70659,,LSO,Ground,2400,,,,,,,
70660,,LSO,Ground,2400,,,,,,,
70661,,LSO,Ground,2400,,,,,,,
70662,,LSO,Ground,2400,,,,,,,
70663,,LSO,Ground,2400,,,,,,,
70664,,LSO,Ground,2400,,,,,,,
70665,,LSO,Ground,2400,,,,,,,
70668,,LSO,Ground,2400,,,,,,,
70669,,LSO,Ground,2400,,,,,,,
71101,,LSO,Ground,2400,,,,,,,
71102,,LSO,Ground,2400,,,,,,,
71103,,LSO,Ground,2400,,,,,,,
71104,,LSO,Ground,2400,,,,,,,
71105,,LSO,Ground,2400,,,,,,,
71106,,LSO,Ground,2400,,,,,,,
71107,,LSO,Ground,2400,,,,,,,
71108,,LSO,Ground,2400,,,,,,,
71109,,LSO,Ground,2400,,,,,,,
71110,,LSO,Ground,2400,,,,,,,
71111,,LSO,Ground,2400,,,,,,,
71112,,LSO,Ground,2400,,,,,,,
71118,,LSO,Ground,2400,,,,,,,
71119,,LSO,Ground,2400,,,,,,,
71129,,LSO,Ground,2400,,,,,,,
71130,,LSO,Ground,2400,,,,,,,
71133,,LSO,Ground,2400,,,,,,,
71134,,LSO,Ground,2400,,,,,,,
71135,,LSO,Ground,2400,,,,,,,
71136,,LSO,Ground,2400,,,,,,,
71137,,LSO,Ground,2400,,,,,,,
71138,,LSO,Ground,2400,,,,,,,
71148,,LSO,Ground,2400,,,,,,,
71149,,LSO,Ground,2400,,,,,,,
71151,,LSO,Ground,2400,,,,,,,
71152,,LSO,Ground,2400,,,,,,,
71153,,LSO,Ground,2400,,,,,,,
71154,,LSO,Ground,2400,,,,,,,
71156,,LSO,Ground,2400,,,,,,,
71161,,LSO,Ground,2400,,,,,,,
71162,,LSO,Ground,2400,,,,,,,
71163,,LSO,Ground,2400,,,,,,,
71164,,LSO,Ground,2400,,,,,,,
71165,,LSO,Ground,2400,,,,,,,
71166,,LSO,Ground,2400,,,,,,,
71171,,LSO,Ground,2400,,,,,,,
